inattentive - невнимательный
independent - независимый
instead - вместо
intersection - перекресток
irritable - раздражительный
jeans - джинсы
job interview - собеседование о приеме на paботу
junk food - неполезная пища
lake - озеро
landlord - арендодатель, хозяин квартиры
(to) leave open - оставить открытым
lonely - томящийся одиночеством
long-distance phone call - междугородний телефонный звонок
(to) look up - посмотреть (в списке)
(to) lose, lost, lost - терять
lucky - удачливый, везучий
marathon - марафон
mean - злобный
(to) mix - смешивать
mosquito - комар
mountain - гора
(to) move - переезжать, передвигать
(to) mug - ограбить на улице
(to) neutralize - нейтрализовать
nitric acid - азотная кислота
of course -конечно
offer - предложение
on time - вовремя
online - онлайн, в интернете
opportunity - возможность
(to) pass - проходить, прекращаться
(to) pay rent - платить арендную плату
(to) point out - указывать на
policeman - полицейский
politely - вежливо
pond - пруд
purse - женская сумочка
(to) put out the garbage - выбросить мусор
(to)refuse - отказаться
(to) ruin - повредить
(to) run away - убежать
(to) run up a phone bill - наговорить телефонный счет
rush hour - час пик
safari - сафари
(to) sail - плавать под парусом
salad - салат
scholarship - стипендия
(to) set, set, set - установить
shore - берег, побережье
side - сторона
skating rink - каток
sleepless - бессонный
sore - воспаленный, болезненный
stew - рагу stomachache - боли в животе / желудке
store - магазин
suit - костюм
supervisor - руководитель
(to) support - поддерживать
(to) take a city train - сесть на городскую элекТРИЧКУ
the other - другой, остальной
throughout the country - no всей стране
thunderstorm - гроза
town - небольшой городок
typewriter - пишущая машинка
uncle - дядя
understanding - понимающий
wet - мокрый
(to) wind up - оказаться, очутиться
worse - хуже
you must be kidding! - вы, должно быть, шутите!
you won't believe - вы не поверите
you're kidding! - ты шутишь!
