accent	- акцент
(to) afford	- позволить себе
angry with each other	- злы друг на друга
as a cashier	- кассиром, в роли кассира
back	- спина
ballerina	- балерина
ballet dancers	- танцоры балета
(to) be late for	- опоздать на
(to) become a Dad	- стать папой
blood pressure	- кровяное давление
blood vessel	- кровеносный сосуд
(to) bundle up	- кутаться
candy	- конфеты
carelessly	- неосторожно
cash register	- кассовый аппарат
(to) catch a bad cold	- сильно заболеть
certainly	- конечно
climate	- климат
clogged	- засоренный, закупоренный
congratulations	- поздравления
construction site	- строительная площадка
coordinated	- скоординированный
(to) cut down on	- сократить потребление чего-либо
diamond	- бриллиант
driver's license	- водительские права
elated	- в приподнятом настроении
(to) endanger	- подвергать опасности
excellent	- отличный
exceptional	- исключительный
exhausted	- изможденный
(to) fall asleep at one's desk	- засыпать за чьим-то столом
fan	- фанат
for Christmas	- на Рождество
Game Boy	- Гейм Бой (электронная игрушка)
get to the point	- ближе к делу
(to) give tours around	- проводить экскурсии по
glasses	- очки
(to) go hungry	- голодать
graduation ceremony	- выпускная церемония
(to) grow up	- вырастать
(to) have a heart attack	- заработать инфаркт
(to) have a thick accent	- иметь сильный акцент
hearing	- слух
heart	- сердце
helmet	- шлем
high cholesterol foods	- виды пищи с высоким содержанием холестерина
I follow you	- я тебя понимаю
I got you	- Я понял
I hear you	- я тебя понимаю
I know for sure that...	- я точно знаю, что...
I'm 100% sure that...	- я на 100% уверен, что...
I’m just saying that...	- я просто хочу сказать, что...
I'm positive that...	- я уверен, что...
IQ (intelligence quotient)	- показатель интеллекта
(to) jog	- бегать трусцой
key to the house	- ключ от дома
knee	- колено
limber	- гибкий
lonely	- одинокий
(to) lose	- терять, проигрывать
(to) make up	- помириться
memory	- память
necklace	- ожерелье
news	- новость, новости
(to) operate	- работать с (аппаратом)
otherwise	- в противном случае
out of job	- без работы
outstanding	- выдающийся, незаурядный
overwhelmed	- поражен
(to) play the trumpet	- играть на трубе
(to) polish	- улучшить, отполировать
poor vision	- плохое зрение
(to) practice	- практиковать
promotion	- продвижение по работе
pronunciation	- произношение
proud	- гордый
(to) put on	- надевать (одежду)
rich dessert	- калорийный десерт
(to) ruin	- разрушить
(to) rush out of	- выбежать из
(to) say "no" to someone	- сказать кому-то "нет"
(to) shiver	- дрожать от холода
smart	- умный, сообразительный
some day	- однажды, когда-нибудь
spicy	- пряный
spoiled	- испорченный
stomach	- живот, желудок
(to) support	- поддерживать, содержать
(to) sweat	- потеть
(to) take a nap	- вздремнуть
(to) take away	- забрать
(to) take life a little easier	- воспринимать жизнь немного проще
thankful	- благодарный
thrilled	- взволнованный
tour guide	- экскурсовод
traffic fine	- штраф за нарушение правил дорожного движения
violinist	- скрипач
wedding ring	- обручальное кольцо
what are you trying to say?	- что вы хотите этим сказать?
what are you trying to tell me?	- что вы пытаетесь сказать мне?
(to) work out	- тренироваться
(to) work overtime	- работать сверхурочно
workaholic	- трудоголик
(to) write down	- записать
