absolutely	- абсолютно
(to) act like adults	- вести себя как взрослые
admission deadline	-дата окончания приема заявок на зачисление
(to) ban	- запрещать
blood sugar	- уровень сахара в крови
(to) bring issue up with the mayor - поднять вопрос у мэра
 (to) buy on sale	- купить на распродаже
cap	- крышка, бейсболка, кепка
car	- вагон в поезде
coin	- монета
(to) collapse	- рухнуть, обвалиться
college application	- заявка на поступление в колледж
(to) come by	- заглядывать, приходить
(to) come true	- сбываться
compartment	- купе
conductor	- проводник
cowboy boots	- ковбойские сапоги
day after day	- день за днем
definitely	- определенно
department store	- универмаг
diabetes	- диабет
diligent	- прилежный
divorced	- разведенный
do you really think ...?	- вы правда думаете ...?
dorm	- общежитие
(to) download a movie	- скачать фильм
(to) drop a coin	- бросать монету
(to) drop	- бросать, ронять
earthquake	- землетрясение
economy	- экономика
(to) embarrass	- смутить
(to) end up with	- оказаться в конечном итоге с
(to) exchange	- обменивать
facebook status	- статус в фейсбук
famous	- известный
fashion boutique	- бутик модной одежды
(to) fill up the gas tank	- заполнить бензобак
(to) find the right track	- найти правильный путь
fire station	- пожарное депо
(to) flip through a magazine	- пролистать журнал
(to) get a chance	- получить шанс
 (to) get accepted	- быть принятым
(to) get baked	- пропекаться
(to) get behind at school	- отставать в школе
(to) get connected	- подключиться
(to) get injured	- получить травму
gift shop	- сувенирный магазин
(to) give feedback	- давать обратную связь, дать отзыв
(to) go into recession	- пойти на спад
(to) go up	- подняться
government	- правительство
great grandchildren	- правнуки
grocery store	- продуктовый магазин
guinea pig	- морская свинка
hardworking	- трудолюбивый
(to) hire a porter	- нанять носильщика
(to) hire a tutor	- нанять репетитора
(to) hope for the future	- надеяться на будущее
I hadn't thought of that	- я об этом не думал
import	- импорт
just like	- так же, как
(to) know how we're doing	- знать, как у нас идут дела
(to) lie down	- прилечь
(to) live to be a hundred	- жить до ста лет
(to) lose data	- потерять данные
lounge	- комната отдыха
(to) make a wish	- загадать желание
(to) make popcorn	- сделать попкорн
malware	- вредоносное программное обеспечение, вирус
mayor	- мэр
medical school	- медицинский университет
night club	- ночной клуб
overpass	- мост для дорожной развязки
particularly	- особенно
(to) pass by	- пройти мимо
password-protected	- защищен паролем
peach cobbler	- персиковый пирог
plasticware	- изделия из пластмассы
platform	- платформа
pleased	- довольный
popular	- популярный
porter	- носильщик
(to) post pictures	- размещать фотографии
(to) pour	- налить
(to) prescribe	- назначать(лекарство)
(to) procrastinate on	- откладывать, медлить с чем-либо
(to) recycle	- повторно перерабатывать мусор
rodeo	- родео
(to) roll over	- перейти, перекатиться
several	- несколько
(to) shout	- кричать
(to) show up for	- прийти на
(to) skype	- говорить по скайпу с кем-либо
snack	- перекус, закуска
sneakers	- кроссовки
soggy	- сырой
spot	- место
stadium	- стадион
success	- успех
(to) suffer	- страдать
(to) take a nap	- вздремнуть
(to) take a pill	- принять таблетку
(to) take out the luggage	- вынести, вынуть багаж
(to) take the call	- принять звонок
(to) text	- писать смс
that hadn't occurred to me	- это не приходило мне в голову
thoroughly	- тщательно
track	- колея, путь(поезда)
train station	- железнодорожный вокзал
(to) update	- обновлять
(to) watch the bags	- смотреть за сумками
WC	- туалет
wi-fi network	- wi-fi сеть
wishing well	- колодец желаний
without question	- без вопросов
(to) yawn	- зевать
year-end bonus	- годичный бонус
